expname,rirs,speed_augmentation,clean,baseline,length,seed,classification_3s,classification_10s,classification_30s,accuracy_3s,accuracy_10s,accuracy_30s,c_primary_3s,c_primary_10s,c_primary_30s
da_rirs_tr_10000,True,False,False,False,10000,1,/home/paul/gp-data/da_rirs_tr_10000/exp/results/classification_3s,/home/paul/gp-data/da_rirs_tr_10000/exp/results/classification_10s,/home/paul/gp-data/da_rirs_tr_10000/exp/results/classification_30s,0.699,0.831,0.86,0.395,0.23,0.206
da_rirs_clean_tr_500_2,True,False,True,False,500,2,/home/paul/gp-data/da_rirs_clean_tr_500_2/exp/results/classification_3s,/home/paul/gp-data/da_rirs_clean_tr_500_2/exp/results/classification_10s,/home/paul/gp-data/da_rirs_clean_tr_500_2/exp/results/classification_30s,0.514,0.651,0.689,0.644,0.476,0.448
da_rirs_tr_5000_2,True,False,False,False,5000,2,/home/paul/gp-data/da_rirs_tr_5000_2/exp/results/classification_3s,/home/paul/gp-data/da_rirs_tr_5000_2/exp/results/classification_10s,/home/paul/gp-data/da_rirs_tr_5000_2/exp/results/classification_30s,0.682,0.82,0.854,0.42,0.245,0.216
da_rirs_clean_tr_5000_7,True,False,True,False,5000,7,/home/paul/gp-data/da_rirs_clean_tr_5000_7/exp/results/classification_3s,/home/paul/gp-data/da_rirs_clean_tr_5000_7/exp/results/classification_10s,/home/paul/gp-data/da_rirs_clean_tr_5000_7/exp/results/classification_30s,0.713,0.83,0.851,0.379,0.231,0.216
da_aug_rirs_clean_tr_5000_2,True,True,True,False,5000,2,/home/paul/gp-data/da_aug_rirs_clean_tr_5000_2/exp/results/classification_3s,/home/paul/gp-data/da_aug_rirs_clean_tr_5000_2/exp/results/classification_10s,/home/paul/gp-data/da_aug_rirs_clean_tr_5000_2/exp/results/classification_30s,0.73,0.842,0.863,0.359,0.217,0.202
da_aug_rirs_clean_tr_5000,True,True,True,False,5000,1,/home/paul/gp-data/da_aug_rirs_clean_tr_5000/exp/results/classification_3s,/home/paul/gp-data/da_aug_rirs_clean_tr_5000/exp/results/classification_10s,/home/paul/gp-data/da_aug_rirs_clean_tr_5000/exp/results/classification_30s,0.726,0.837,0.858,0.361,0.22,0.204
da_aug_rirs_clean_tr_1000_2,True,True,True,False,1000,2,/home/paul/gp-data/da_aug_rirs_clean_tr_1000_2/exp/results/classification_3s,/home/paul/gp-data/da_aug_rirs_clean_tr_1000_2/exp/results/classification_10s,/home/paul/gp-data/da_aug_rirs_clean_tr_1000_2/exp/results/classification_30s,0.653,0.785,0.813,0.452,0.288,0.268
da_aug_clean_tr_5000,False,True,True,False,5000,1,/home/paul/gp-data/da_aug_clean_tr_5000/exp/results/classification_3s,/home/paul/gp-data/da_aug_clean_tr_5000/exp/results/classification_10s,/home/paul/gp-data/da_aug_clean_tr_5000/exp/results/classification_30s,0.714,0.833,0.857,0.377,0.226,0.208
da_aug_clean_tr_5000_2,False,True,True,False,5000,2,blank,blank,/home/paul/gp-data/da_aug_clean_tr_5000_2/exp/results/classification_30s,blank,blank,0.853,blank,blank,0.212
da_rirs_clean_tr_5000_6,True,False,True,False,5000,6,/home/paul/gp-data/da_rirs_clean_tr_5000_6/exp/results/classification_3s,/home/paul/gp-data/da_rirs_clean_tr_5000_6/exp/results/classification_10s,/home/paul/gp-data/da_rirs_clean_tr_5000_6/exp/results/classification_30s,0.711,0.827,0.853,0.381,0.234,0.214
